time,EPL_tii2014.PLC.MN.NoEEE-Link Power
0.278619523862,21924
0.278619523862,21800
0.278619523862,21800
0.278619523862,21676
0.278619523862,21676
0.278619523862,21552
0.278619523862,21552
0.278619523862,21428
0.278619523862,21428
0.278619523862,21304
0.278619523862,21304
0.278619523862,21180
0.278619523862,21180
0.278619523862,21056
0.278625283862,21056
0.278625283862,20932
0.278625283862,20932
0.278625283862,20808
0.278625283862,20808
0.278625283862,20684
0.278625283862,20684
0.278625283862,20560
0.278625283862,20560
0.278625283862,20436
0.278625283862,20436
0.278625283862,20312
0.278625283862,20312
0.278625283862,20188
0.278625283862,20188
0.278625283862,20064
0.278625283862,20064
0.278625283862,19940
0.278625283862,19940
0.278625283862,19816
0.278625283862,19816
0.278625283862,19692
0.278625283862,19692
0.278625283862,19568
0.278625283862,19568
0.278625283862,19444
0.278625283862,19444
0.278625283862,19320
0.278625283862,19320
0.278625283862,19196
0.278625283862,19196
0.278625283862,19072
0.278625283862,19072
0.278625283862,18948
0.278625283862,18948
0.278625283862,18824
0.278625283862,18824
0.278625283862,18700
0.278625283862,18700
0.278625283862,18576
0.278625283862,18576
0.278625283862,18452
0.278625283862,18452
0.278625283862,18328
0.278625283862,18328
0.278625283862,18204
0.278625283862,18204
0.278625283862,18080
0.278625283862,18080
0.278625283862,17956
0.278625283862,17956
0.278625283862,17832
0.278625283862,17832
0.278625283862,17708
0.278625283862,17708
0.278625283862,17584
0.278625283862,17584
0.278625283862,17460
0.278632003861,17460
0.278632003861,17336
0.27864772386,17336
0.27864772386,17212
0.27865348386,17212
0.27865348386,17088
0.2880416,17088
0.2880416,17212
0.28808896,17212
0.28808896,17336
0.288137279999,17336
0.288137279999,19816
0.288137279999,19816
0.288137279999,21056
0.288137279999,21056
0.288137279999,21180
0.288179455999,21180
0.288179455999,21304
0.288184639999,21304
0.288184639999,21428
0.288185599998,21428
0.288185599998,21552
0.288185599998,21552
0.288185599998,21676
0.288185599998,21676
0.288185599998,21800
0.288185599998,21800
0.288185599998,21924
0.288185599998,21924
0.288185599998,22048
0.288185599998,22048
0.288185599998,22172
0.288185599998,22172
0.288185599998,22296
0.288185599998,22296
0.288185599998,22420
0.288185599998,22420
0.288185599998,22544
0.288185599998,22544
0.288185599998,22668
0.288185599998,22668
0.288185599998,22792
0.288185599998,22792
0.288185599998,22916
0.288185599998,22916
0.288185599998,23040
0.288185599998,23040
0.288185599998,23164
0.288185599998,23164
0.288185599998,23288
0.288185599998,23288
0.288185599998,23412
0.288185599998,23412
0.288185599998,23536
0.288185599998,23536
0.288185599998,23660
0.288185599998,23660
0.288185599998,23784
0.288185599998,23784
0.288185599998,23908
0.288185599998,23908
0.288185599998,24032
